FID,EndStationID,BUS_DIST,METRO_DIST,RAIL_DIST,CAZ_DIST,RetailCoverS,RetailRatio,ResCoverS,ResidentRatio,ParkCoverS,ParkRatio,CommerCoverS,CommerRatio,MetroCommu,BusCommute,Deprivatio,AllusualRe,JobDensity,StudentRat,Deprivatio,NoCar,OfficeWork,MetroCommu,BusCommute,CarorVanCo,CycleCommu,RoadDen,POPDEN,counts,count_ratio
591,1,239.8374699,495.1027288,459.6261313,1987.949012,29585.19922,0.008396275,379947.4375,0.014640866,47664.38672,0.004101819,3176.198242,0.000720318,0.175,0.158333333,0.51987768,1500,0.847908745,0.076806084,0.051987768,0.647058824,0.24,0.175,0.158333333,0.155555556,0.108333333,0.006900772,0.011311778,3758,0.000444067
254,2,67.42232614,364.4988848,387.1493069,1740.621546,20811.80078,0.005906386,63100.60156,0.002431514,20335.17188,0.001749969,1816.285767,0.000411909,0.175879397,0.75376884,0.3558719,1459,0.797752809,0.101123596,0.003558719,0.422735346,0.136394791,0.175879397,0.075376884,0.216080402,0.090452261,0.013418572,0.011180406,15333,0.001811835
605,3,89.6215015,391.2853621,410.6029502,2598.753058,39280.89844,0.011147913,302564.1563,0.011658985,34672.69922,0.002983803,504.8533936,0.000114494,0.2453737,0.97222222,0.1171459,1877,0.855119124,0.0643915,0.01171459,0.854700855,0.230154502,0.24537037,0.097222222,0.069444444,0.155092593,0.011469009,0.005275888,7665,0.00090574
631,4,69.75936866,92.74824642,215.2928302,2935.121348,66963.60156,0.01900426,322861.1875,0.012441109,24887.38477,0.002141715,3713.17334,0.000842097,0.231974922,0.172413793,0.57784912,1359,0.766020864,0.114754098,0.057784912,0.81540931,0.23473142,0.231974922,0.172413793,0.128526646,0.103448276,0.004860372,0.016783253,7055,0.000833659
181,5,55.28690779,88.35252601,122.1449777,2348.533478,5248.02002,0.001489387,94838.5625,0.003654502,22395.08203,0.001927237,457292.2813,0.103707654,0.216216216,0.818181,0.9188361,1250,0.851176188,0.056168987,0.009188361,0.579027356,0.2072,0.216216216,0.081081081,0.127413127,0.061776062,0.005243427,0.009729551,20532,0.002426179
435,6,188.8682396,333.2482588,395.7209112,4086.859952,30477.80078,0.008649595,385312.25,0.014847594,78690.41406,0.006771803,101751.625,0.023075881,0.2327128,0.8878547,0.27724665,1859,0.776569038,0.105439331,0.027724665,0.745940783,0.230231307,0.203271028,0.088785047,0.119158879,0.051401869,0.014483129,0.0070669,11886,0.001404518
401,7,191.3876671,423.2538948,441.4200782,1618.406594,36478.39844,0.010352564,307455.6563,0.011847473,33434.60156,0.002877257,14905.92578,0.003380461,0.23434783,0.782687,0.18492176,1459,0.745980707,0.128617363,0.018492176,0.535150646,0.157642221,0.230434783,0.07826087,0.213043478,0.065217391,0.221981828,0.003252568,6571,0.000776467
284,8,56.39599539,160.7523112,160.0405081,1944.744156,5284.490234,0.001499738,6482.084473,0.00024978,43465.63672,0.00374049,817.2617798,0.000185344,0.23895238,0.17868347,0.8721125,1697,0.821367521,0.117094017,0.087201125,0.620641562,0.210371243,0.238095238,0.170868347,0.176470588,0.081232493,0.856309525,0.018975517,13668,0.001615089
550,9,102.7022496,451.5735534,508.4439033,1630.817941,65120,0.018481046,460843.9688,0.017758127,22975.87695,0.001977218,36732.94922,0.008330532,0.16796875,0.115625,0.4523697,1291,0.823773324,0.0967519,0.045023697,0.671394799,0.198295895,0.16796875,0.1015625,0.16015625,0.12109375,0.016166862,0.009211494,8574,0.001013153
560,10,164.9731914,217.4641239,533.1468182,200.1895434,38589.10156,0.010951581,703454.625,0.027106868,99066.03125,0.008525252,17966.32227,0.004074517,0.16796875,0.115625,0.4523697,1291,0.823773324,0.0967519,0.045023697,0.671394799,0.198295895,0.16796875,0.1015625,0.16015625,0.12109375,0.018117991,0.009211494,7880,0.000931146
1,11,151.8329711,149.3030255,157.2962023,1442.912681,17782.59961,0.005046699,457637.9063,0.017634585,78467.40625,0.006752612,236523.0781,0.053640209,0.226973684,0.138157895,0.136467,1405,0.620253165,0.298372514,0.103064067,0.838664812,0.216370107,0.226973684,0.138157895,0.088815789,0.082236842,0.002823249,0.024037307,11382,0.001344962
203,12,235.9330678,305.9931637,297.8519279,4953.256673,25974.30078,0.007371503,458548.0938,0.017669658,3429.744629,0.000295151,2289.747314,0.000519283,0.125984252,0.6367454,0.2439244,1423,0.740384615,0.165865385,0.024390244,0.804537522,0.267744202,0.125984252,0.060367454,0.044619423,0.062992126,0.010528066,0.007273141,15381,0.001817507
558,13,134.4661139,131.9583407,139.3231905,1585.11816,54385.69922,0.015434653,332942.5,0.012829582,97106.86719,0.008356654,36386.42578,0.008251945,0.22592251,0.738738,0.2724359,1481,0.694526627,0.11612426,0.02724359,0.814580032,0.18298447,0.225092251,0.073800738,0.084870849,0.081180812,0.009625584,0.010925027,7427,0.000877617
4,14,46.00779822,52.60427183,132.7096365,3694.300758,60404.80078,0.017142873,389791.3438,0.015020191,34282.29297,0.002950206,1744.588623,0.000395649,0.165697674,0.177325581,0.113928,1447,0.784328358,0.112686567,0.101030928,0.770020534,0.237733241,0.165697674,0.177325581,0.139534884,0.078488372,0.018541182,0.018787125,39793,0.004702169
152,15,105.7986991,206.3161475,268.6346815,2375.990175,30667.5,0.008703432,415775.8125,0.016021474,53233.42969,0.00458107,33.41222382,7.57744E-06,0.121875,0.1625,0.3864198,1310,0.659848485,0.24469697,0.030864198,0.855555556,0.244274809,0.121875,0.10625,0.075,0.040625,0.031476732,0.0040716,12427,0.001468445
